No,Stockcode,Description,Quantite,PU,Ville,date,heure,month,dow,PT,Continent,clusters
548617,20992,JAZZ HEARTS PURSE NOTEBOOK,12,0.85,United Kingdom,2011-04-01,11,4,4,10.2,Europe,3
581419,22970,LONDON BUS COFFEE MUG,18,2.55,United Kingdom,2011-12-08,15,12,3,45.9,Europe,0
538877,21327,SKULLS WRITING SET ,1,3.36,United Kingdom,2010-12-14,15,12,1,3.36,Europe,2
538636,21843,RED RETROSPOT CAKE STAND,1,10.95,United Kingdom,2010-12-13,13,12,0,10.95,Europe,2
545872,21445,12 PINK ROSE PEG PLACE SETTINGS,2,1.25,United Kingdom,2011-03-07,14,3,0,2.5,Europe,1
556484,22960,JAM MAKING SET WITH JARS,2,4.25,United Kingdom,2011-06-12,13,6,6,8.5,Europe,3
568517,23202,JUMBO BAG VINTAGE LEAF,2,2.08,United Kingdom,2011-09-27,12,9,1,4.16,Europe,2
536420,22358,KINGS CHOICE TEA CADDY ,6,2.95,United Kingdom,2010-12-01,12,12,2,17.700000000000003,Europe,2
579187,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,5,0.83,United Kingdom,2011-11-28,15,11,0,4.1499999999999995,Europe,2
575222,23555,LANDMARK FRAME NOTTING HILL ,1,12.5,United Kingdom,2011-11-09,11,11,2,12.5,Europe,2
548992,15044A,PINK PAPER PARASOL ,6,2.95,United Kingdom,2011-04-05,13,4,1,17.700000000000003,Europe,1
553387,21328,BALLOONS  WRITING SET ,1,3.29,United Kingdom,2011-05-16,16,5,0,3.29,Europe,1
566624,22178,VICTORIAN GLASS HANGING T-LIGHT,6,1.95,United Kingdom,2011-09-14,9,9,2,11.7,Europe,2
578696,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,12,2.55,United Kingdom,2011-11-25,10,11,4,30.599999999999998,Europe,0
579512,23493,VINTAGE DOILY TRAVEL SEWING KIT,1,3.29,United Kingdom,2011-11-29,16,11,1,3.29,Europe,2
569248,23319,BOX OF 6 MINI 50'S CRACKERS,6,2.49,United Kingdom,2011-10-03,10,10,0,14.940000000000001,Europe,2
573390,23041,PAPER LANTERN 9 POINT SNOW STAR,4,4.15,United Kingdom,2011-10-30,14,10,6,16.6,Europe,3
537054,22588,CARD HOLDER GINGHAM HEART,1,2.55,United Kingdom,2010-12-05,11,12,6,2.55,Europe,3
571058,22423,REGENCY CAKESTAND 3 TIER,16,10.95,United Kingdom,2011-10-13,14,10,3,175.2,Europe,3
571241,22993,SET OF 4 PANTRY JELLY MOULDS,1,1.25,United Kingdom,2011-10-14,14,10,4,1.25,Europe,0
572847,21912,VINTAGE SNAKES & LADDERS,1,3.75,United Kingdom,2011-10-26,12,10,2,3.75,Europe,2
569255,22470,HEART OF WICKER LARGE,80,1.97,United Kingdom,2011-10-03,11,10,0,157.6,Europe,2
540278,48138,DOORMAT UNION FLAG,1,7.95,United Kingdom,2011-01-06,12,1,3,7.95,Europe,1
548492,22727,ALARM CLOCK BAKELIKE RED ,2,3.75,United Kingdom,2011-03-31,13,3,3,7.5,Europe,1
574099,23581,JUMBO BAG PAISLEY PARK,10,2.08,Portugal,2011-11-03,10,11,3,20.8,Europe,0
545580,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,United Kingdom,2011-03-04,8,3,4,19.5,Europe,3
566913,21984,PACK OF 12 PINK PAISLEY TISSUES ,4,0.39,United Kingdom,2011-09-15,14,9,3,1.56,Europe,0
547910,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,2,0.65,United Kingdom,2011-03-28,12,3,0,1.3,Europe,1
549100,20675,BLUE POLKADOT BOWL,4,2.46,United Kingdom,2011-04-06,11,4,2,9.84,Europe,1
580729,23576,SNACK TRAY RED VINTAGE DOILY,2,4.13,United Kingdom,2011-12-05,17,12,0,8.26,Europe,2
555507,22983,CARD BILLBOARD FONT,12,0.42,United Kingdom,2011-06-03,16,6,4,5.04,Europe,3
574470,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,7,0.2,United Kingdom,2011-11-04,11,11,4,1.4000000000000001,Europe,0
538869,84968A,SET OF 16 VINTAGE ROSE CUTLERY,1,12.75,United Kingdom,2010-12-14,14,12,1,12.75,Europe,2
541421,85103,SILVER T-LIGHT SETTING,1,5.79,United Kingdom,2011-01-17,17,1,0,5.79,Europe,1
560225,22821,GIFT BAG PSYCHEDELIC APPLES,1,0.42,United Kingdom,2011-07-15,16,7,4,0.42,Europe,3
567183,22115,METAL SIGN EMPIRE TEA,2,0.79,United Kingdom,2011-09-18,15,9,6,1.58,Europe,3
581139,21232,STRAWBERRY CERAMIC TRINKET POT,72,1.06,United Kingdom,2011-12-07,13,12,2,76.32000000000001,Europe,2
544051,21114,LAVENDER SCENTED FABRIC HEART,10,1.25,United Kingdom,2011-02-15,12,2,1,12.5,Europe,1
553523,23204,CHARLOTTE BAG APPLES DESIGN,5,2.46,United Kingdom,2011-05-17,14,5,1,12.3,Europe,1
578362,23127,FELTCRAFT GIRL NICOLE KIT,16,4.95,United Kingdom,2011-11-24,10,11,3,79.2,Europe,0
552857,21704,BAG 250g SWIRLY MARBLES,1,1.63,United Kingdom,2011-05-11,15,5,2,1.63,Europe,1
545067,22914,BLUE COAT RACK PARIS FASHION,2,4.95,United Kingdom,2011-02-27,14,2,6,9.9,Europe,3
572221,23172,REGENCY TEA PLATE PINK,12,1.65,United Kingdom,2011-10-21,13,10,4,19.799999999999997,Europe,0
573814,22811,SET OF 6 T-LIGHTS CACTI ,3,2.95,United Kingdom,2011-11-01,11,11,1,8.850000000000001,Europe,2
554663,21746,SMALL RED RETROSPOT WINDMILL,8,1.25,United Kingdom,2011-05-25,14,5,2,10.0,Europe,1
564221,22470,HEART OF WICKER LARGE,1,5.79,United Kingdom,2011-08-24,9,8,2,5.79,Europe,2
569546,23131,MISTLETOE HEART WREATH CREAM,1,4.15,United Kingdom,2011-10-04,16,10,1,4.15,Europe,2
538071,22091,EMPIRE TISSUE BOX,2,2.51,United Kingdom,2010-12-09,14,12,3,5.02,Europe,0
555278,22297,HEART IVORY TRELLIS SMALL,1,2.46,United Kingdom,2011-06-01,17,6,2,2.46,Europe,1
575637,21034,REX CASH+CARRY JUMBO SHOPPER,1,0.95,United Kingdom,2011-11-10,13,11,3,0.95,Europe,0
553489,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,3.75,United Kingdom,2011-05-17,12,5,1,15.0,Europe,1
547906,22784,LANTERN CREAM GAZEBO ,1,4.95,United Kingdom,2011-03-28,12,3,0,4.95,Europe,1
561366,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,4.15,United Kingdom,2011-07-26,15,7,1,16.6,Europe,2
563288,22322,BIRD DECORATION GREEN POLKADOT,12,0.85,France,2011-08-15,12,8,0,10.2,Europe,2
539736,21948,SET OF 6 CAKE CHOPSTICKS,1,2.51,United Kingdom,2010-12-21,15,12,1,2.51,Europe,2
574709,23439,HAND WARMER RED LOVE HEART,24,2.1,United Kingdom,2011-11-06,14,11,6,50.400000000000006,Europe,3
547786,82482,WOODEN PICTURE FRAME WHITE FINISH,3,2.55,United Kingdom,2011-03-25,11,3,4,7.6499999999999995,Europe,3
544661,21175,GIN + TONIC DIET METAL SIGN,6,2.55,United Kingdom,2011-02-22,13,2,1,15.299999999999999,Europe,1
560650,22089,PAPER BUNTING VINTAGE PAISLEY,2,2.95,United Kingdom,2011-07-20,11,7,2,5.9,Europe,2
555278,22077,6 RIBBONS RUSTIC CHARM,2,3.29,United Kingdom,2011-06-01,17,6,2,6.58,Europe,1
545221,20979,36 PENCILS TUBE RED RETROSPOT,16,1.25,United Kingdom,2011-03-01,8,3,1,20.0,Europe,1
580157,21034,REX CASH+CARRY JUMBO SHOPPER,1,0.95,United Kingdom,2011-12-02,10,12,4,0.95,Europe,0
537214,21121,SET/10 RED POLKADOT PARTY CANDLES,288,1.06,United Kingdom,2010-12-05,15,12,6,305.28000000000003,Europe,3
571441,23217,LAUREL HEART ANTIQUE SILVER,5,2.46,United Kingdom,2011-10-17,13,10,0,12.3,Europe,2
557935,22469,HEART OF WICKER SMALL,24,1.65,United Kingdom,2011-06-23,15,6,3,39.599999999999994,Europe,3
576890,20724,RED RETROSPOT CHARLOTTE BAG,10,0.85,Germany,2011-11-16,17,11,2,8.5,Europe,2
581238,22429,ENAMEL MEASURING JUG CREAM,1,8.29,United Kingdom,2011-12-08,10,12,3,8.29,Europe,0
580044,22835,HOT WATER BOTTLE I AM SO POORLY,4,4.95,United Kingdom,2011-12-01,12,12,3,19.8,Europe,0
551998,17091A,LAVENDER INCENSE IN TIN,24,0.38,United Kingdom,2011-05-05,15,5,3,9.120000000000001,Europe,1
579777,23526,WALL ART DOG LICENCE ,1,12.46,United Kingdom,2011-11-30,15,11,2,12.46,Europe,2
556080,22613,PACK OF 20 SPACEBOY NAPKINS,1,1.63,United Kingdom,2011-06-08,15,6,2,1.63,Europe,1
543802,22168,ORGANISER WOOD ANTIQUE WHITE ,1,8.5,United Kingdom,2011-02-13,12,2,6,8.5,Europe,3
576932,23267,SET OF 4 SANTA PLACE SETTINGS,24,1.25,United Kingdom,2011-11-17,11,11,3,30.0,Europe,0
550953,85204,HANGING WOOD AND FELT FLOWER,2,0.42,United Kingdom,2011-04-21,16,4,3,0.84,Europe,1
545086,22138,BAKING SET 9 PIECE RETROSPOT ,9,4.95,France,2011-02-28,11,2,0,44.550000000000004,Europe,1
552149,22518,CHILDS GARDEN BRUSH BLUE,6,2.1,United Kingdom,2011-05-06,12,5,4,12.600000000000001,Europe,3
565766,22621,TRADITIONAL KNITTING NANCY,2,1.65,United Kingdom,2011-09-06,14,9,1,3.3,Europe,2
544463,22470,HEART OF WICKER LARGE,1,2.95,United Kingdom,2011-02-20,14,2,6,2.95,Europe,3
537823,22574,HEART WOODEN CHRISTMAS DECORATION,2,1.66,United Kingdom,2010-12-08,14,12,2,3.32,Europe,2
547249,85132C,CHARLIE AND LOLA FIGURES TINS,1,8.29,United Kingdom,2011-03-22,9,3,1,8.29,Europe,1
547580,22982,PANTRY PASTRY BRUSH,12,1.25,United Kingdom,2011-03-24,10,3,3,15.0,Europe,1
558738,20974,12 PENCILS SMALL TUBE SKULL,24,0.65,United Kingdom,2011-07-01,15,7,4,15.600000000000001,Europe,3
549713,22907,PACK OF 20 NAPKINS PANTRY DESIGN,8,0.85,United Kingdom,2011-04-11,14,4,0,6.8,Europe,1
547578,71459,HANGING JAM JAR T-LIGHT HOLDER,12,0.85,United Kingdom,2011-03-24,10,3,3,10.2,Europe,1
542895,21621,VINTAGE UNION JACK BUNTING,2,8.5,United Kingdom,2011-02-01,13,2,1,17.0,Europe,1
551134,22191,IVORY DINER WALL CLOCK,1,8.5,United Kingdom,2011-04-26,13,4,1,8.5,Europe,1
538186,21175,GIN + TONIC DIET METAL SIGN,12,2.1,United Kingdom,2010-12-10,10,12,4,25.200000000000003,Europe,0
544792,48194,DOORMAT HEARTS,4,7.95,United Kingdom,2011-02-23,12,2,2,31.8,Europe,1
566195,72232,FENG SHUI PILLAR CANDLE,48,0.19,Norway,2011-09-09,13,9,4,9.120000000000001,Europe,0
565854,22629,SPACEBOY LUNCH BOX ,12,1.95,France,2011-09-07,13,9,2,23.4,Europe,2
546305,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2.1,United Kingdom,2011-03-10,16,3,3,2.1,Europe,1
567665,51014A,"FEATHER PEN,HOT PINK",8,0.83,United Kingdom,2011-09-21,15,9,2,6.64,Europe,2
567529,23356,LOVE HOT WATER BOTTLE,3,5.95,United Kingdom,2011-09-21,9,9,2,17.85,Europe,2
